# module,power(mW),gpu_power(mW),cpu_power(mW),energy(J),gpu_energy(J),cpu_energy(J),flops,params
image_radar_encoder.fpn.backbone.network.6.4.token_mixer,-133806.26397751042,32774.0,-172013.36585103782,-2956.189501637459,663.6214904785156,-3619.810992115975,28800.0,0.0
image_radar_encoder.fpn.backbone.network.6.5.token_mixer,-130835.23789851196,32699.0,-172011.13891249182,-3207.102612032821,757.8071584701538,-3964.909770502975,28800.0,0.0
image_radar_encoder.radar_encoder,-117642.43310181984,54028.45486765929,-171687.2418732082,-841253.4688054649,386248.7630852461,-1227502.231890711,194249600.0,68019.0
image_radar_encoder.channel_attn_stage3.0,-147418.009034011,22772.7200180276,-171524.9563994924,-19460.473139762013,2939.4551362991333,-22399.928276061146,102656.0,3.0
image_radar_encoder.channel_attn_stage3.1,-147998.13812510707,21807.08002356109,-171516.60409764835,-18879.509879073747,2718.647698402405,-21598.15757747615,25664.0,3.0
image_radar_encoder.channel_attn_stage4.0,-148693.26812374088,22128.31409568926,-171508.13549175454,-18982.294328289223,2759.7135763168335,-21742.007904606056,58464.0,5.0
image_radar_encoder.channel_attn_stage4.1,-149761.01866629414,21430.2687719331,-171499.8910905886,-19550.00175246144,2737.1939626932144,-22287.195715154656,14544.0,3.0
image_radar_encoder.channel_attn_stage5.0,-148693.19273057778,21376.492505315706,-171491.66821610503,-19238.419766111572,2756.470673441887,-21994.89043955346,30528.0,5.0
image_radar_encoder.channel_attn_stage5.1,-148727.64700816726,21200.94297430781,-171483.28571800978,-18855.625093433133,2644.588031411171,-21500.213124844304,7488.0,3.0
det_head.cls_convs.0,-113029.91620054274,58382.5274867891,-171423.48632647432,-159315.7345791262,82204.65833890438,-241520.3929180306,233472000.0,144896.0
det_head.cls_convs.1,-112412.32851721325,58632.569002120516,-171374.54374701245,-43502.883739300974,22605.019425868988,-66107.90316516996,58368000.0,144896.0
det_head.cls_convs.2,-136578.53132334407,34477.78912472553,-171352.34743990278,-41200.87420572047,10310.183246612549,-51511.05745233302,14592000.0,144896.0
det_head.reg_convs.0,-112846.51898312494,58415.99468101523,-171288.37572146722,-159044.8061168367,82130.08319711685,-241174.88931395355,233472000.0,144896.0
det_head.reg_convs.1,-112367.66503246661,58296.73330743189,-171239.6360934542,-43686.608658191544,22555.586851239204,-66242.19550943075,58368000.0,144896.0
det_head.reg_convs.2,-135692.23125870805,34768.42507573778,-171217.6191781177,-40564.0543814167,10373.046898245811,-50937.101279662515,14592000.0,144896.0
det_head.stems.0,-118872.20137538116,52602.40889546879,-171203.26177303336,-23708.467300689634,10351.777487754822,-34060.244788444455,34406400.0,20992.0
det_head.stems.1,-112547.13493230037,58076.35945993111,-171192.70369811618,-13688.056275571696,6982.3521872758865,-20670.408462847583,18841600.0,46592.0
det_head.stems.2,-125686.45320083259,44654.8712772136,-171184.88987707518,-14266.865668731403,4986.120504140854,-19252.986172872257,9318400.0,92672.0
