# module,power(mW),gpu_power(mW),cpu_power(mW),energy(J),gpu_energy(J),cpu_energy(J),flops,params
image_radar_encoder.fpn,61730.10216149064,52629.12333661322,9103.840143186666,1887975.0126247518,1609560.704687953,278414.30793679884,4323817648.0,2122844.0
image_radar_encoder.radar_encoder,63291.5871152131,53168.95563535839,10134.739725307052,447221.7639055436,375613.9047899246,71607.85911561897,186812800.0,51099.0
image_radar_encoder.channel_attn_stage3.0,30506.74822476984,20695.9733251097,10321.907598114338,5322.423490272373,3532.0886882543564,1790.334802018017,76992.0,3.0
image_radar_encoder.channel_attn_stage3.1,30043.05715411564,20019.953308292937,10332.092353560462,4708.474535274687,3095.6222434043884,1612.8522918702988,19248.0,3.0
image_radar_encoder.channel_attn_stage4.0,29081.051027107074,20000.72309494473,10342.934622062838,5042.451003343337,3258.6608263254166,1783.7901770179205,48480.0,3.0
image_radar_encoder.channel_attn_stage4.1,29780.346638317045,19702.39304521202,10353.752431150804,5349.487492408889,3505.710159301758,1843.777333107131,12120.0,3.0
image_radar_encoder.channel_attn_stage5.0,30061.51020842667,19903.181949533555,10363.98215516792,5025.312425055212,3308.865846991539,1716.4465780636729,23744.0,5.0
image_radar_encoder.channel_attn_stage5.1,29578.235386979944,19597.34945172582,10374.63221266168,5314.493623056147,3461.195213675499,1853.2984093806483,5824.0,3.0
det_head.cls_convs.0,68097.29976741747,57775.16951729019,10429.67362407308,84690.55166208101,71735.85653626919,12954.695125811813,233472000.0,144896.0
det_head.cls_convs.1,62025.13066345302,51905.04426084695,10476.105424146313,26657.04275049059,22176.524409413338,4480.5183410772515,58368000.0,144896.0
det_head.cls_convs.2,45350.60463641704,35048.092307973944,10500.924147827627,16018.772370319697,12324.252197027206,3694.52017329249,14592000.0,144896.0
det_head.reg_convs.0,68484.29863242448,58032.74721382452,10558.925729480594,85420.68808368071,72261.18221199512,13159.505871685586,233472000.0,144896.0
det_head.reg_convs.1,62903.70910631333,52370.97728583717,10604.897993992367,26803.766348657595,22295.433646559715,4508.3327020978795,58368000.0,144896.0
det_head.reg_convs.2,45550.26647995902,35140.304224666535,10629.369988788221,16136.625076622044,12392.636251449585,3743.9888251724587,14592000.0,144896.0
det_head.stems.0,64086.58180437598,54142.89541351239,10645.535122629139,12913.625675228504,10773.345456123352,2140.280219105152,26214400.0,15872.0
det_head.stems.1,59700.07184882881,49739.618511813445,10657.024648058836,8751.034658846304,7212.113288164139,1538.921370682164,15769600.0,38912.0
det_head.stems.2,44345.67473432075,34055.65293244613,10666.60931392047,6481.727987348797,4934.642596483231,1547.0853908655658,7270400.0,72192.0
