# module,power(mW),gpu_power(mW),cpu_power(mW),energy(J),gpu_energy(J),cpu_energy(J),flops,params
image_radar_encoder.fpn,74246.34781453949,52991.47470765999,21259.386747023385,1588267.2130460746,1133512.5262013674,454754.6868447073,2315507248.0,1355254.0
image_radar_encoder.radar_encoder,75355.35819775258,53297.43595998481,22063.381464214406,509097.80280444236,360047.24939370155,149050.55341074083,184412800.0,40887.0
image_radar_encoder.channel_attn_stage3.0,43021.33202751337,21317.95424403962,22218.812592452785,5333.643095249853,2595.2855186462402,2738.357576603613,76992.0,3.0
image_radar_encoder.channel_attn_stage3.1,42746.38416119526,21051.34682691294,22226.880148982345,5588.159772148518,2714.0466804504395,2874.1130916980787,19248.0,3.0
image_radar_encoder.channel_attn_stage4.0,42977.96210390093,20841.04344762542,22234.945208785815,5619.960315082506,2718.5155767202377,2901.4447383622687,38784.0,3.0
image_radar_encoder.channel_attn_stage4.1,42446.09666119907,20515.071706795592,22242.95322433829,5550.462184804566,2644.5307445526123,2905.931440251954,9696.0,3.0
image_radar_encoder.channel_attn_stage5.0,38174.234744244975,20385.6432423001,22251.338621648974,4785.076556814206,2033.4687688350677,2751.6077879791383,18656.0,5.0
image_radar_encoder.channel_attn_stage5.1,42065.48696224847,20342.125055394088,22259.699779904156,5303.226978876777,2528.104261636734,2775.1227172400436,4576.0,3.0
det_head.cls_convs.0,80637.97481798122,58477.69503707113,22316.99230393459,109952.56055741222,79558.58911645412,30393.971440958092,233472000.0,144896.0
det_head.cls_convs.1,80593.70511589406,58425.854839412226,22363.369060429657,30527.562835190227,22066.029814481735,8461.533020708493,58368000.0,144896.0
det_head.cls_convs.2,56314.12838630704,34210.356615878365,22385.135878971865,16796.733789680795,10155.538953185081,6641.194836495712,14592000.0,144896.0
det_head.reg_convs.0,80830.4108293178,58587.105463097054,22445.98531616203,110295.50821068896,79698.43188762665,30597.076323062312,233472000.0,144896.0
det_head.reg_convs.1,80007.71333972766,58387.47035330764,22492.2620778112,30148.208330774178,21692.58876478672,8455.619565987457,58368000.0,144896.0
det_head.reg_convs.2,56390.60726429586,34157.76193162093,22513.557463244302,17151.97543393654,10345.134529948235,6806.840903988303,14592000.0,144896.0
det_head.stems.0,73278.33881221485,51271.25856991476,22527.111965197117,13686.57693833795,9505.44732785225,4181.129610485701,26214400.0,15872.0
det_head.stems.1,71448.01169429967,49921.729839617336,22537.083535219364,7994.3576412606035,5499.085812687874,2495.2718285727296,12697600.0,31232.0
det_head.stems.2,57656.55912137291,36036.276726942655,22544.519839358392,6680.225559172779,4098.490003228188,2581.7355559445914,5734400.0,56832.0
