# module,power(mW),gpu_power(mW),cpu_power(mW),energy(J),gpu_energy(J),cpu_energy(J),flops,params
image_radar_encoder.fpn,65708.97291780231,46625.543803599976,19088.54281298689,1238929.760970497,879024.0148068666,359905.7461636305,998636848.0,1316246.0
image_radar_encoder.radar_encoder,72886.99817970129,53066.070725400656,19838.325265763022,493929.34253646934,359531.31345427036,134398.029082199,184412800.0,40887.0
image_radar_encoder.channel_attn_stage3.0,40697.99023677255,21237.096811448657,19993.260872315765,5087.559280620714,2621.7356581687927,2465.8236224519214,76992.0,3.0
image_radar_encoder.channel_attn_stage3.1,40562.1675495984,21026.585486167616,20001.39161009544,5321.092147305067,2710.8994406461716,2610.192706658895,19248.0,3.0
image_radar_encoder.channel_attn_stage4.0,36377.807078657504,20782.06137091712,20009.516348861853,4727.098240532747,2139.0544167757034,2588.0438237570434,38784.0,3.0
image_radar_encoder.channel_attn_stage4.1,39939.731943235776,20346.366399276918,20018.783576790356,5124.122837758631,2576.146445274353,2547.976392484278,9696.0,3.0
image_radar_encoder.channel_attn_stage5.0,39926.3788827854,20628.385073396385,20027.41436910578,5120.477292828078,2577.1513681411743,2543.325924686904,18656.0,5.0
image_radar_encoder.channel_attn_stage5.1,39836.428902266256,20409.429176893846,20035.53317845865,5132.657258562065,2575.2117574214935,2557.4455011405717,4576.0,3.0
det_head.cls_convs.0,78645.87482976927,58653.26620274737,20092.000829529654,107145.43788019122,79781.10541248322,27364.332467708,233472000.0,144896.0
det_head.cls_convs.1,78061.00543405963,58394.8691136677,20138.418237007176,29340.93817422607,21779.16451370716,7561.773660518909,58368000.0,144896.0
det_head.cls_convs.2,53853.18065825723,34047.2029611336,20160.06698636411,15887.514137181513,9959.302682161331,5928.211455020182,14592000.0,144896.0
det_head.reg_convs.0,78436.31819794998,58334.30750674367,20221.619346615134,107000.83334952756,79432.35566818714,27568.477681340424,233472000.0,144896.0
det_head.reg_convs.1,78305.94936948497,58477.15464403373,20269.087847783558,29504.678284063164,21892.056295394897,7612.621988668267,58368000.0,144896.0
det_head.reg_convs.2,54169.04568683012,34065.967205862544,20291.01838832339,16059.493011447896,10070.18204343319,5989.310968014705,14592000.0,144896.0
det_head.stems.0,71428.790596016,51981.911436814335,20304.79635970975,13289.117716816409,9553.853012681007,3735.264704135401,26214400.0,15872.0
det_head.stems.1,70403.70266399886,50429.04061790331,20314.72542048412,7804.592892396509,5569.684622764587,2234.908269631922,12697600.0,31232.0
det_head.stems.2,55457.713408394244,35432.43447267998,20322.131212023844,6399.467339231773,4066.6373571157455,2332.8299821160267,5734400.0,56832.0
