# module,power(mW),gpu_power(mW),cpu_power(mW),energy(J),gpu_energy(J),cpu_energy(J),flops,params
image_radar_encoder.fpn,61727.58363177544,49288.63872805398,12441.9817076894,1609549.1891644066,1285154.3693886995,324394.8197757071,2296958848.0,1526510.0
image_radar_encoder.radar_encoder,67439.73878488143,54186.10427588293,13265.40479594432,454515.7020015381,365135.36964821815,89380.33235331994,184412800.0,40887.0
image_radar_encoder.channel_attn_stage3.0,34593.58604595386,21716.44436228653,13417.801126519613,4509.706730415022,2772.886429786682,1736.82030062834,76992.0,3.0
image_radar_encoder.channel_attn_stage3.1,34091.45623880008,21208.279402068954,13425.972445179255,4256.189446271417,2599.8889553546906,1656.300490916727,19248.0,3.0
image_radar_encoder.channel_attn_stage4.0,33813.950207286056,20823.621044826075,13434.662443055191,4422.131353259415,2684.8261272907257,1737.305225968689,38784.0,3.0
image_radar_encoder.channel_attn_stage4.1,33699.461796687145,20765.92242811955,13442.662046988331,4381.327584478777,2651.458651781082,1729.8689326976942,9696.0,3.0
image_radar_encoder.channel_attn_stage5.0,33913.892838344495,20800.376347417718,13450.84808665751,4358.783710967274,2656.8744723796844,1701.9092385875895,18656.0,5.0
image_radar_encoder.channel_attn_stage5.1,33862.87755683154,20695.314658364496,13458.893844635766,4419.8913025850425,2678.403295516968,1741.488007068075,4576.0,3.0
det_head.cls_convs.0,71940.93787787497,58493.6340487685,13515.099094054942,98068.37348421705,79660.04499936104,18408.32848485601,233472000.0,144896.0
det_head.cls_convs.1,72024.947593681,58868.75908185719,13562.615905564397,27096.58954280934,22017.790358543396,5078.799184265943,58368000.0,144896.0
det_head.cls_convs.2,46831.419408872825,33540.93898785473,13584.09571517149,14262.360467662003,10143.079592585564,4119.28087507644,14592000.0,144896.0
det_head.reg_convs.0,72007.24139193515,58502.33070918925,13645.588174486456,98302.34905609905,79691.89011216164,18610.458943937418,233472000.0,144896.0
det_head.reg_convs.1,71726.37658035013,58276.9760404261,13692.721566067989,27114.86337295726,21956.71172606945,5158.151646887813,58368000.0,144896.0
det_head.reg_convs.2,47402.927567496685,33929.350881327584,13713.974390942481,14296.688072670875,10177.274752259254,4119.413320411621,14592000.0,144896.0
det_head.stems.0,64467.741934986654,51386.86352499204,13727.417754202703,11997.969758033507,9470.547157764435,2527.422600269072,26214400.0,15872.0
det_head.stems.1,63552.34029281981,50833.67748595146,13737.375490894965,7119.48265577482,5594.620036840439,1524.862618934381,12697600.0,31232.0
det_head.stems.2,48173.009053662296,35331.33032210525,13744.92616989767,5417.749905753861,3898.193614602089,1519.5562911517716,5734400.0,56832.0
