# module,power(mW),gpu_power(mW),cpu_power(mW),energy(J),gpu_energy(J),cpu_energy(J),flops,params
image_radar_encoder.fpn,97784.53532191677,50437.43677392269,47356.576556357366,1760607.0026732183,908015.6513233185,852591.3513498998,1129082064.0,1887954.0
image_radar_encoder.radar_encoder,101509.0166289875,53440.74571113117,48081.061421643644,688989.4880890662,362703.4719543457,326286.0161347205,186812800.0,51099.0
image_radar_encoder.channel_attn_stage3.0,68813.34664192527,21571.941085906088,48236.04517150796,8964.31496104594,2725.9166057109833,6238.398355334958,76992.0,3.0
image_radar_encoder.channel_attn_stage3.1,67800.6851680541,21250.686871213045,48244.15397376438,8556.653948485076,2491.834835290909,6064.819113194167,19248.0,3.0
image_radar_encoder.channel_attn_stage4.0,67924.00236931705,20846.74596757978,48252.66844908187,9013.15655867382,2719.0556358098984,6294.100922863921,48480.0,3.0
image_radar_encoder.channel_attn_stage4.1,68390.34329326768,20616.42530387585,48260.84546495138,8578.07764079462,2571.9018878936768,6006.175752900943,12120.0,3.0
image_radar_encoder.channel_attn_stage5.0,68578.70580362987,20749.28604262318,48268.89121326055,9057.45570887737,2713.111386656761,6344.34432222061,23744.0,5.0
image_radar_encoder.channel_attn_stage5.1,66482.98802578686,20585.783385937044,48277.225506240124,8445.105129309399,2348.101255297661,6097.003874011737,5824.0,3.0
det_head.cls_convs.0,106880.33612737092,58639.091353429176,48335.920200018925,145801.32522899046,79905.62951099873,65895.69571799174,233472000.0,144896.0
det_head.cls_convs.1,106269.80165818523,58420.330154896685,48382.26651350334,40128.15637279204,21886.81464087963,18241.341731912406,58368000.0,144896.0
det_head.cls_convs.2,81775.71497674742,33865.922043745864,48403.887929876866,24460.57224950612,10068.406615376472,14392.16563412965,14592000.0,144896.0
det_head.reg_convs.0,106989.1822273491,58648.8025817076,48465.216468946004,146027.7612465538,79926.94484698772,66100.81639956607,233472000.0,144896.0
det_head.reg_convs.1,106468.67139773001,58351.94751058331,48512.248350515256,40143.36974363612,21936.39088535309,18206.97885828303,58368000.0,144896.0
det_head.reg_convs.2,82712.71036206736,34410.65158044584,48534.04460258344,24535.300117910534,10154.689029455185,14380.61108845535,14592000.0,144896.0
det_head.stems.0,98343.05302064308,50218.280733646636,48547.61019598839,18370.435710753376,9352.554701328278,9017.881009425098,26214400.0,15872.0
det_head.stems.1,99808.28054203792,52864.99433032292,48557.37207372945,11275.614564085085,5886.646304607391,5388.968259477692,15769600.0,38912.0
det_head.stems.2,85517.54326567071,37905.198310374966,48564.76828083909,9929.694008456252,4343.147326469421,5586.54668198683,7270400.0,72192.0
