# module,power(mW),gpu_power(mW),cpu_power(mW),energy(J),gpu_energy(J),cpu_energy(J),flops,params
image_radar_encoder.fpn,66043.62240685898,51408.964662292405,14636.954047336048,1213597.036250892,944653.6004264355,268943.43582445657,1048246448.0,1736694.0
image_radar_encoder.radar_encoder,68575.76956334047,53205.710119108764,15381.62490243928,463217.39593983465,359335.1389955282,103882.25694430641,184412800.0,40887.0
image_radar_encoder.channel_attn_stage3.0,36634.18626833537,21407.277333769824,15535.565988105875,4801.700219574557,2790.7421473264694,2010.9580722480873,76992.0,3.0
image_radar_encoder.channel_attn_stage3.1,36366.17711749606,20974.546385855436,15543.56319244465,4767.03136979083,2740.670447230339,2026.360922560491,19248.0,3.0
image_radar_encoder.channel_attn_stage4.0,36226.5628891207,20867.25986301242,15551.607610600382,4652.305725642357,2665.7559498548508,1986.5497757875064,38784.0,3.0
image_radar_encoder.channel_attn_stage4.1,34279.961191386494,20593.295853266274,15559.760368457019,4360.709632298147,2399.5391693115234,1961.170462986623,9696.0,3.0
image_radar_encoder.channel_attn_stage5.0,35322.241117708225,20151.754027912968,15569.617805149255,4564.626640105831,2581.548550605774,1983.0780895000566,18656.0,5.0
image_radar_encoder.channel_attn_stage5.1,35480.168229773844,20155.108913655145,15578.060866118358,4659.120335005483,2624.986233830452,2034.1341011750308,4576.0,3.0
det_head.cls_convs.0,73787.14926654764,58559.77252743907,15633.896473326951,100629.75668560507,79321.04411518574,21308.71257041934,233472000.0,144896.0
det_head.cls_convs.1,74070.55802652959,58645.51410851824,15678.274304644008,27830.03908464716,21947.68835091591,5882.35073373125,58368000.0,144896.0
det_head.cls_convs.2,49294.800836325085,33801.92878248673,15699.280617373055,14923.642069807389,10181.444251656532,4742.197818150857,14592000.0,144896.0
det_head.reg_convs.0,74171.36765239137,58456.551796688174,15760.697477988779,101222.06033640957,79732.73449862003,21489.325837789547,233472000.0,144896.0
det_head.reg_convs.1,73593.69929428452,58008.802021535885,15807.904960812552,27807.34828490515,21857.969044804573,5949.379240100577,58368000.0,144896.0
det_head.reg_convs.2,49229.47766212495,33707.86142123739,15829.047976262815,15000.158124618058,10197.118632793427,4803.039491824631,14592000.0,144896.0
det_head.stems.0,65713.8336026857,50341.91256343623,15842.635688445436,12243.085143323398,9306.517570734024,2936.567572589375,26214400.0,15872.0
det_head.stems.1,63611.4449887039,48847.89381880786,15852.528745127403,7149.323264998202,5398.256038427353,1751.0672265708486,12697600.0,31232.0
det_head.stems.2,51820.14518213855,36485.82178835676,15859.93427677905,5722.6470057414945,3986.783146381378,1735.8638593601165,5734400.0,56832.0
