# module,power(mW),gpu_power(mW),cpu_power(mW),energy(J),gpu_energy(J),cpu_energy(J),flops,params
image_radar_encoder.fpn,118796.51743090931,55420.73341309808,63379.883048943295,4320512.463444029,2015493.0190085173,2305019.4444355117,3170636864.0,12537142.0
image_radar_encoder.radar_encoder,119170.40481704153,54719.89198627361,64470.83916557365,828216.9023360723,380229.1231844425,447987.7791516298,194249600.0,68019.0
image_radar_encoder.channel_attn_stage3.0,86079.78532504402,22409.909942125116,64626.71393248976,11130.126356272502,2862.8054275512695,8267.320928721232,102656.0,3.0
image_radar_encoder.channel_attn_stage3.1,85812.44410834277,21726.411571381544,64634.912148911346,11202.602063700611,2832.3095605373383,8370.292503163273,25664.0,3.0
image_radar_encoder.channel_attn_stage4.0,84818.57243626914,21545.61103032199,64643.06004964214,10619.085860733114,2659.919572353363,7959.166288379751,58464.0,5.0
image_radar_encoder.channel_attn_stage4.1,84860.64435753894,21207.953543785843,64651.207476635784,11205.62870394942,2769.2576344013214,8436.371069548099,14544.0,3.0
image_radar_encoder.channel_attn_stage5.0,84803.0942846702,21101.802466425313,64659.34216789288,11271.16016204581,2761.303278326988,8509.856883718821,30528.0,5.0
image_radar_encoder.channel_attn_stage5.1,84675.47619806774,20967.501906548612,64667.53370326646,10698.942033273692,2622.0375275611877,8076.904505712505,7488.0,3.0
det_head.cls_convs.0,123113.31658235454,58520.15369255703,64724.401393901535,168215.02095282535,79828.35896384716,88386.66198897819,233472000.0,144896.0
det_head.cls_convs.1,123388.48051710262,58957.91630358464,64771.211119532716,46635.758891885125,22222.318521380424,24413.4403705047,58368000.0,144896.0
det_head.cls_convs.2,99082.69465323193,34594.948662504445,64792.96207621613,29501.58847716605,10274.210740685463,19227.377736480586,14592000.0,144896.0
det_head.reg_convs.0,123088.07036036898,58361.19247661408,64854.55044729534,168356.31138580848,79739.08435702324,88617.22702878524,233472000.0,144896.0
det_head.reg_convs.1,123165.12399423828,58648.76201666053,64901.45617408103,46457.16624789061,22022.87368798256,24434.292559908048,58368000.0,144896.0
det_head.reg_convs.2,99142.43442652364,34554.914611007225,64923.095887797805,29543.911443000645,10208.02925658226,19335.882186418385,14592000.0,144896.0
det_head.stems.0,116928.70216825792,52858.73252447058,64937.35407983312,22667.107568996824,10158.500319957733,12508.60724903909,34406400.0,20992.0
det_head.stems.1,119976.29762755308,56191.05269848027,64947.8340120572,14408.297770687164,6671.487137556076,7736.810633131089,18841600.0,46592.0
det_head.stems.2,107347.82449890644,43598.77492886732,64955.496730801075,11993.44556107713,4807.741876840591,7185.703684236537,9318400.0,92672.0
