# module,power(mW),gpu_power(mW),cpu_power(mW),energy(J),gpu_energy(J),cpu_energy(J),flops,params
image_radar_encoder.fpn,107996.70548032054,53524.60133149597,54479.44206297813,3078924.0700160693,1525872.6678680182,1553051.4021480514,2966956848.0,3727390.0
image_radar_encoder.fpn.backbone.network.0.0.token_mixer,100050.6751581878,46526.27535333025,55081.39237683843,12818.868714155804,5812.7450115680695,7006.123702587735,204800.0,0.0
image_radar_encoder.fpn.backbone.network.0.1.token_mixer,105740.38269545011,52080.82584710139,55089.68002530502,13554.057214462999,6572.39950299263,6981.657711470368,204800.0,0.0
image_radar_encoder.fpn.backbone.network.0.2.token_mixer,106103.22150119956,52036.09243222573,55098.054414497325,13600.541470479351,6585.835317373276,7014.706153106076,204800.0,0.0
image_radar_encoder.fpn.backbone.network.0.3.token_mixer,106404.29097578321,51991.84178408498,55106.34458900582,13637.712559335367,6627.140616774559,7010.571942560807,204800.0,0.0
image_radar_encoder.fpn.backbone.network.2.0.token_mixer,100500.24057973275,52444.772671470055,55111.61046095451,3074.380008712714,1476.8372881412506,1597.5427205714634,76800.0,0.0
image_radar_encoder.fpn.backbone.network.2.1.token_mixer,99203.29409967546,52477.0,55114.18018713281,3025.4575176367966,1424.8837523460388,1600.5737652907578,76800.0,0.0
image_radar_encoder.fpn.backbone.network.2.2.token_mixer,101728.46662376128,50196.233776059176,55116.77896719955,3102.3720795580275,1494.8633118867874,1607.5087676712403,76800.0,0.0
image_radar_encoder.fpn.backbone.network.2.3.token_mixer,101317.47199417841,48812.0,55119.38902370311,3099.0174095814555,1472.2722311019897,1626.7451784794657,76800.0,0.0
image_radar_encoder.fpn.backbone.network.4.0.token_mixer,91675.18904144371,46851.0,55122.17259653296,2279.7577959512955,970.1162574291229,1309.6415385221726,48000.0,0.0
image_radar_encoder.fpn.backbone.network.4.1.token_mixer,98338.64446096824,46851.0,55124.36072094407,2237.4288656497474,1032.9818551540375,1204.44701049571,48000.0,0.0
image_radar_encoder.fpn.backbone.network.4.2.token_mixer,88549.30804347896,39874.0,55126.592018046635,1928.774066651401,760.4221134185791,1168.3519532328219,48000.0,0.0
image_radar_encoder.fpn.backbone.network.4.3.token_mixer,89442.68135051861,39874.0,55128.776576649834,1977.299152103457,814.6578507423401,1162.6413013611168,48000.0,0.0
image_radar_encoder.fpn.backbone.network.4.4.token_mixer,88014.4711891527,39903.0,55130.971287590124,1911.4165667718746,802.5020978450775,1108.914468926797,48000.0,0.0
image_radar_encoder.fpn.backbone.network.4.5.token_mixer,91493.82781058562,39903.0,55133.17220215217,1997.5577101942913,821.4817628860474,1176.075947308244,48000.0,0.0
image_radar_encoder.fpn.backbone.network.4.6.token_mixer,90913.01553543954,39630.0,55135.31929558361,1982.9479010687235,814.8316311836243,1168.1162698850992,48000.0,0.0
image_radar_encoder.fpn.backbone.network.4.7.token_mixer,89532.35575343674,39630.0,55137.50487382844,1966.1963673708578,797.0872950553894,1169.1090723154684,48000.0,0.0
image_radar_encoder.fpn.backbone.network.4.8.token_mixer,88676.81492387808,39868.0,55139.6894454311,1931.1074252920387,763.1877870559692,1167.9196382360694,48000.0,0.0
image_radar_encoder.fpn.backbone.network.4.9.token_mixer,90616.7723302364,39868.0,55141.89154091651,2015.7853862590903,868.6963052749634,1147.089080984127,48000.0,0.0
image_radar_encoder.fpn.backbone.network.4.10.token_mixer,88268.15703379503,39678.0,55144.124511228976,1933.9090086509214,767.0524005889893,1166.856608061932,48000.0,0.0
image_radar_encoder.fpn.backbone.network.4.11.token_mixer,87618.09269174213,39678.0,55146.303864627545,1906.6938858857325,798.1284098625183,1108.5654760232142,48000.0,0.0
image_radar_encoder.fpn.backbone.network.6.0.token_mixer,88973.45283223863,39735.0,55148.83289485693,1967.3078034197433,796.2623798847198,1171.0454235350235,22400.0,0.0
image_radar_encoder.fpn.backbone.network.6.1.token_mixer,89603.731109261,39735.0,55151.049518835745,2032.5797540329763,845.4585886001587,1187.1211654328176,22400.0,0.0
image_radar_encoder.fpn.backbone.network.6.2.token_mixer,79907.31679695258,30079.0,55153.24748131089,1772.1601983195612,602.4543361663818,1169.7058621531794,22400.0,0.0
image_radar_encoder.fpn.backbone.network.6.3.token_mixer,79899.88202267555,30079.0,55155.44232220295,1752.7742492648124,585.1784517765045,1167.5957974883079,22400.0,0.0
image_radar_encoder.radar_encoder,110001.19402027436,54556.24287629051,55465.01683534211,745759.2326605329,369778.3183964491,375980.9142640839,186812800.0,51099.0
image_radar_encoder.channel_attn_stage3.0,77134.72355353061,22166.442884995286,55619.41458572054,9998.907502877428,2865.1671040058136,7133.740398871614,76992.0,3.0
image_radar_encoder.channel_attn_stage3.1,76507.4468709468,21558.086133354984,55626.84687421044,9761.671838204482,2722.1098992824554,7039.5619389220265,19248.0,3.0
image_radar_encoder.channel_attn_stage4.0,76300.7621841325,21433.476599571408,55634.48974401448,9616.983063260559,2670.763065814972,6946.219997445586,48480.0,3.0
image_radar_encoder.channel_attn_stage4.1,76122.92684296708,21114.784627052122,55642.297690992105,9926.86085437682,2728.205982685089,7198.654871691732,12120.0,3.0
image_radar_encoder.channel_attn_stage5.0,75579.1619741292,20995.052206949462,55650.48931826414,9456.83745240371,2590.298323869705,6866.539128534006,23744.0,5.0
image_radar_encoder.channel_attn_stage5.1,76134.61554885647,20928.517601398355,55658.629375250006,9959.098154241263,2700.4862369298935,7258.61191731137,5824.0,3.0
det_head.cls_convs.0,114075.20517543366,58521.0657095137,55715.22515831129,155732.26565681782,79736.70725488663,75995.5584019312,233472000.0,144896.0
det_head.cls_convs.1,114022.50207820995,58513.775461942656,55761.84824852395,43039.695147333805,22060.507962584496,20979.18718474931,58368000.0,144896.0
det_head.cls_convs.2,89648.65734813591,34092.18590273406,55782.84897112825,27449.566386052997,10394.88394844532,17054.682437607677,14592000.0,144896.0
det_head.reg_convs.0,114222.08307572453,58587.19491344226,55843.833680548305,156057.7499481075,79832.32774758339,76225.4222005241,233472000.0,144896.0
det_head.reg_convs.1,113472.44361540873,58447.975252040036,55891.47024737436,42853.57428765905,21771.491189718246,21082.08309794081,58368000.0,144896.0
det_head.reg_convs.2,89994.52387441204,34379.227294262884,55913.03095634349,27342.577358955143,10397.544473052025,16945.032885903118,14592000.0,144896.0
